Reporter Identifier	VALUE
ILMN_1343291	13.5545409
ILMN_1343295	11.1999373
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	11.2497303
ILMN_1651229	3.32192809
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.69714439
ILMN_1651253	3.32192809
ILMN_1651254	9.08088493
ILMN_1651259	4.1862034
ILMN_1651262	8.00365789
ILMN_1651278	6.55136651
ILMN_1651279	3.32192809
ILMN_1651281	3.32192809
ILMN_1651282	4.96152332
ILMN_1651285	3.32192809
ILMN_1651288	4.6399134
ILMN_1651296	5.17100622
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.35939774
ILMN_1651316	3.32192809
ILMN_1651325	3.32192809
ILMN_1651328	4.01731264
ILMN_1651329	3.32192809
ILMN_1651336	3.32192809
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.32192809
ILMN_1651346	6.014416
ILMN_1651347	9.36816856
ILMN_1651351	3.32192809
ILMN_1651354	3.32192809
ILMN_1651358	3.32192809
ILMN_1651364	4.28957555
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	4.31966851
ILMN_1651378	6.42400433
ILMN_1651380	3.32192809
ILMN_1651385	7.07807287
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	4.0074745
ILMN_1651404	3.32192809
ILMN_1651405	6.60204868
ILMN_1651408	4.47041582
ILMN_1651415	3.72870528
ILMN_1651428	3.32192809
ILMN_1651429	3.32192809
ILMN_1651433	6.59586316
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	5.13985459
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.83163508
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.32192809
ILMN_1651495	3.32192809
ILMN_1651496	9.0357828
ILMN_1651498	4.49246146
ILMN_1651499	5.83689035
ILMN_1651501	3.32192809
ILMN_1651504	5.90401123
ILMN_1651506	3.32192809
ILMN_1651507	3.32192809
ILMN_1651508	3.32192809
ILMN_1651513	4.99193447
ILMN_1651520	3.32192809
ILMN_1651532	3.32192809
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.32192809
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	3.32192809
ILMN_1651563	3.32192809
ILMN_1651565	3.32192809
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	3.32192809
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	4.66094915
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	8.67951388
ILMN_1651636	3.32192809
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	4.74252475
ILMN_1651643	3.32192809
ILMN_1651652	4.16509994
ILMN_1651657	3.32192809
ILMN_1651660	3.32192809
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	12.8392717
ILMN_1651681	3.53761042
ILMN_1651684	4.37351737
ILMN_1651685	3.32192809
ILMN_1651690	3.32192809
ILMN_1651692	8.3752606
ILMN_1651693	3.32192809
ILMN_1651699	3.32192809
ILMN_1651705	10.2073597
ILMN_1651708	3.32192809
ILMN_1651710	3.32192809
ILMN_1651711	3.32192809
ILMN_1651712	3.32192809
ILMN_1651715	3.32192809
ILMN_1651717	3.32192809
ILMN_1651719	6.73773408
ILMN_1651727	3.32192809
ILMN_1651735	9.10897235
