Reporter Identifier	VALUE
ILMN_1343291	13.87581
ILMN_1343295	10.1130437
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.41094346
ILMN_1651228	11.4395034
ILMN_1651229	5.27570113
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.63809232
ILMN_1651259	5.02030686
ILMN_1651262	9.49411763
ILMN_1651278	7.22974387
ILMN_1651279	3.33272941
ILMN_1651281	3.45084305
ILMN_1651282	4.75422692
ILMN_1651285	3.32192809
ILMN_1651288	3.32192809
ILMN_1651296	5.83949819
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.22944483
ILMN_1651316	6.04338221
ILMN_1651325	3.32192809
ILMN_1651328	4.69761927
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	4.18789599
ILMN_1651341	3.32192809
ILMN_1651343	3.84586535
ILMN_1651346	6.49130695
ILMN_1651347	9.67179169
ILMN_1651351	3.61257661
ILMN_1651354	3.32192809
ILMN_1651358	3.32192809
ILMN_1651364	3.84660918
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	4.24665358
ILMN_1651373	3.32192809
ILMN_1651378	6.89548252
ILMN_1651380	4.13550368
ILMN_1651385	6.92644297
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	6.98343876
ILMN_1651404	3.41505689
ILMN_1651405	9.07336395
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	5.35030071
ILMN_1651433	8.70733558
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.07897727
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.85474374
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.84518191
ILMN_1651495	3.32192809
ILMN_1651496	7.818439
ILMN_1651498	3.32192809
ILMN_1651499	5.60887204
ILMN_1651501	3.32192809
ILMN_1651504	5.65500483
ILMN_1651506	4.90835419
ILMN_1651507	4.15497513
ILMN_1651508	3.32192809
ILMN_1651513	7.73819198
ILMN_1651520	3.48459575
ILMN_1651532	3.32192809
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.70295226
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	6.36785192
ILMN_1651563	4.13472777
ILMN_1651565	4.82789979
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	4.83799217
ILMN_1651574	4.40878133
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
