Reporter Identifier	VALUE
ILMN_1343291	13.7119304
ILMN_1343295	10.2823807
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	12.3401823
ILMN_1651229	4.98851928
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.07095331
ILMN_1651259	4.39676848
ILMN_1651262	9.0500829
ILMN_1651278	6.97831463
ILMN_1651279	3.32192809
ILMN_1651281	4.54481672
ILMN_1651282	6.3114399
ILMN_1651285	3.32192809
ILMN_1651288	3.32192809
ILMN_1651296	4.1366885
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	7.49255424
ILMN_1651316	4.39091252
ILMN_1651325	3.32192809
ILMN_1651328	3.32192809
ILMN_1651329	3.32192809
ILMN_1651336	4.89688019
ILMN_1651339	3.32192809
ILMN_1651341	3.68362235
ILMN_1651343	3.32192809
ILMN_1651346	6.65055061
ILMN_1651347	9.25241471
ILMN_1651351	3.32192809
ILMN_1651354	3.32192809
ILMN_1651358	3.32192809
ILMN_1651364	4.14777802
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	4.08626236
ILMN_1651378	6.49386569
ILMN_1651380	3.32192809
ILMN_1651385	7.5232083
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	6.77683963
ILMN_1651404	3.72698812
ILMN_1651405	8.31713807
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	3.92115828
ILMN_1651433	8.12157962
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	5.74201106
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.95294295
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.54213792
ILMN_1651495	3.32192809
ILMN_1651496	7.95841989
ILMN_1651498	3.32192809
ILMN_1651499	5.15881203
ILMN_1651501	3.32192809
ILMN_1651504	5.74942754
ILMN_1651506	4.879768
ILMN_1651507	3.32192809
ILMN_1651508	3.44266753
ILMN_1651513	6.74697376
ILMN_1651520	3.32192809
ILMN_1651532	3.32192809
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.32192809
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	4.10235579
ILMN_1651563	3.32192809
ILMN_1651565	3.32192809
ILMN_1651567	3.68200352
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	4.67123335
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	3.35240685
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	7.54532439
ILMN_1651636	3.51671741
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	3.32192809
ILMN_1651643	3.61156075
ILMN_1651652	3.32192809
ILMN_1651657	3.85830034
ILMN_1651660	3.32192809
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	13.8283567
ILMN_1651681	3.32192809
ILMN_1651684	5.16638164
ILMN_1651685	3.32192809
ILMN_1651690	3.32192809
ILMN_1651692	8.17344229
ILMN_1651693	3.32192809
ILMN_1651699	3.32192809
ILMN_1651705	8.95532472
ILMN_1651708	3.32192809
ILMN_1651710	3.32192809
ILMN_1651711	3.32192809
ILMN_1651712	3.32192809
ILMN_1651715	3.32192809
ILMN_1651717	3.32192809
ILMN_1651719	7.08767605
ILMN_1651727	3.32192809
ILMN_1651735	9.499814
ILMN_1651737	3.32192809
ILMN_1651741	4.99223276
ILMN_1651745	3.32192809
ILMN_1651752	5.0384274
ILMN_1651758	3.32192809
ILMN_1651760	3.32192809
ILMN_1651763	3.32192809
ILMN_1651767	6.19058345
ILMN_1651769	6.44483202
ILMN_1651771	3.32192809
ILMN_1651776	6.71158025
ILMN_1651787	3.32192809
ILMN_1651788	7.42442666
ILMN_1651789	3.32192809
ILMN_1651792	3.32192809
ILMN_1651799	8.86811755
ILMN_1651800	3.32192809
ILMN_1651806	3.32192809
ILMN_1651811	3.32192809
ILMN_1651817	3.32192809
ILMN_1651819	6.54727121
ILMN_1651826	12.6453421
ILMN_1651828	7.60673832
ILMN_1651832	10.3009817
ILMN_1651846	3.32192809
ILMN_1651848	3.32192809
ILMN_1651850	13.7153872
ILMN_1651865	3.32192809
ILMN_1651872	6.82069594
ILMN_1651886	7.72678763
ILMN_1651899	13.4734039
ILMN_1651900	3.32192809
ILMN_1651902	3.32192809
ILMN_1651903	3.32192809
ILMN_1651913	3.32192809
ILMN_1651916	3.32192809
ILMN_1651936	5.35938096
ILMN_1651938	3.32192809
ILMN_1651943	3.32192809
ILMN_1651944	3.32192809
ILMN_1651949	5.10783347
ILMN_1651950	6.4206941
ILMN_1651958	3.32192809
ILMN_1651964	5.70018389
ILMN_1651966	3.32192809
ILMN_1651967	3.32192809
ILMN_1651980	3.92294375
ILMN_1651984	3.32192809
ILMN_1651987	6.8988964
ILMN_1652000	4.4922384
ILMN_1652003	8.56821722
ILMN_1652006	3.32192809
ILMN_1652008	4.63598128
ILMN_1652015	3.32192809
ILMN_1652017	3.32192809
ILMN_1652022	3.32192809
ILMN_1652023	3.32192809
ILMN_1652024	4.88979378
ILMN_1652037	3.32192809
ILMN_1652065	5.090469
ILMN_1652066	3.32192809
ILMN_1652072	3.32192809
ILMN_1652073	11.9461833
ILMN_1652079	3.32192809
ILMN_1652081	3.65279278
ILMN_1652082	8.70371155
ILMN_1652085	7.82198439
ILMN_1652098	3.32192809
ILMN_1652110	3.32192809
ILMN_1652113	3.32192809
ILMN_1652123	9.31972473
ILMN_1652128	10.2023504
ILMN_1652132	3.32192809
ILMN_1652144	3.32192809
ILMN_1652147	3.32192809
ILMN_1652151	3.32192809
ILMN_1652155	3.32192809
ILMN_1652160	6.01523551
ILMN_1652161	3.32192809
ILMN_1652163	5.15136447
ILMN_1652164	4.14381379
ILMN_1652166	3.32192809
ILMN_1652171	3.32192809
ILMN_1652175	3.32192809
ILMN_1652178	3.32192809
ILMN_1652181	3.32192809
ILMN_1652185	9.04723218
ILMN_1652188	4.04197011
ILMN_1652196	3.32192809
ILMN_1652198	7.65480857
ILMN_1652199	10.1743303
ILMN_1652205	3.32192809
ILMN_1652206	3.32192809
ILMN_1652207	12.2813928
ILMN_1652209	3.32192809
ILMN_1652215	5.19279188
ILMN_1652218	3.32192809
ILMN_1652219	3.32192809
ILMN_1652223	4.46457221
ILMN_1652230	13.8968735
ILMN_1652236	3.32192809
ILMN_1652237	3.32192809
ILMN_1652242	3.9977955
ILMN_1652243	3.32192809
ILMN_1652244	3.32192809
ILMN_1652246	3.32192809
ILMN_1652248	3.32192809
ILMN_1652249	3.32192809
ILMN_1652254	3.32192809
ILMN_1652259	3.4074017
ILMN_1652276	3.32192809
ILMN_1652277	3.32192809
ILMN_1652280	4.60980755
ILMN_1652284	3.32192809
ILMN_1652287	3.32192809
ILMN_1652291	3.32192809
ILMN_1652297	3.32192809
ILMN_1652300	3.42226665
ILMN_1652306	3.32192809
ILMN_1652309	3.32192809
ILMN_1652313	3.32192809
ILMN_1652314	3.32192809
ILMN_1652319	3.32192809
ILMN_1652331	3.63997532
ILMN_1652333	7.7674383
ILMN_1652342	3.32192809
ILMN_1652343	3.32192809
ILMN_1652348	3.53608399
ILMN_1652357	5.57186972
ILMN_1652365	3.32192809
ILMN_1652366	3.58129701
ILMN_1652368	3.32192809
ILMN_1652369	3.32192809
ILMN_1652371	3.32192809
ILMN_1652376	3.32192809
ILMN_1652378	3.32192809
ILMN_1652379	7.96480003
ILMN_1652381	4.03682243
ILMN_1652392	3.32192809
ILMN_1652394	7.59934978
ILMN_1652407	5.35292445
ILMN_1652409	3.32192809
ILMN_1652412	4.38847819
ILMN_1652417	3.32192809
ILMN_1652424	3.32192809
ILMN_1652429	3.32192809
ILMN_1652430	3.32192809
ILMN_1652431	10.489009
ILMN_1652434	4.20621654
ILMN_1652436	3.32192809
ILMN_1652439	3.32192809
ILMN_1652445	3.32192809
ILMN_1652450	3.45467864
ILMN_1652456	3.32192809
ILMN_1652459	5.37691129
ILMN_1652461	3.32192809
ILMN_1652464	3.32192809
ILMN_1652466	3.4853972
ILMN_1652469	3.46924912
ILMN_1652472	3.32192809
ILMN_1652486	3.89361267
ILMN_1652487	3.73203253
ILMN_1652488	3.32192809
ILMN_1652490	7.77847538
ILMN_1652505	5.99125017
ILMN_1652507	3.89192365
ILMN_1652512	5.22352102
ILMN_1652521	5.8033991
ILMN_1652525	3.96998575
ILMN_1652527	3.32192809
ILMN_1652533	6.10158096
ILMN_1652540	4.17434969
ILMN_1652549	3.32192809
ILMN_1652550	3.32192809
ILMN_1652574	3.32192809
ILMN_1652577	3.32192809
ILMN_1652580	4.05348934
ILMN_1652594	4.97474084
ILMN_1652602	3.32192809
ILMN_1652604	3.32192809
ILMN_1652609	3.32192809
ILMN_1652611	3.32192809
ILMN_1652628	3.32192809
ILMN_1652631	11.2629405
ILMN_1652638	4.99495438
ILMN_1652639	3.32192809
ILMN_1652646	3.32192809
ILMN_1652647	3.32192809
ILMN_1652649	3.32192809
ILMN_1652650	7.0809486
ILMN_1652660	3.32192809
ILMN_1652662	4.8461889
ILMN_1652666	3.32192809
ILMN_1652670	3.32192809
ILMN_1652674	3.32192809
ILMN_1652677	3.80582279
ILMN_1652680	8.59402185
ILMN_1652685	3.32192809
ILMN_1652687	3.32192809
ILMN_1652689	4.08021592
ILMN_1652693	3.32192809
ILMN_1652694	3.32192809
ILMN_1652700	3.32192809
ILMN_1652701	3.32192809
ILMN_1652711	4.03758605
ILMN_1652719	3.32192809
ILMN_1652721	3.32192809
ILMN_1652722	7.32319531
ILMN_1652735	4.37158953
ILMN_1652736	6.11390007
