Reporter Identifier	VALUE
ILMN_1343291	13.8323155
ILMN_1343295	10.9344479
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	12.0319927
ILMN_1651229	5.53991285
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	4.86155395
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.36065508
ILMN_1651259	3.85581035
ILMN_1651262	9.46002067
ILMN_1651278	7.23111171
ILMN_1651279	3.32192809
ILMN_1651281	3.32192809
ILMN_1651282	7.45976356
ILMN_1651285	3.32192809
ILMN_1651288	3.32192809
ILMN_1651296	4.48976192
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.15592527
ILMN_1651316	5.6183623
ILMN_1651325	3.32192809
ILMN_1651328	3.48895454
ILMN_1651329	3.32192809
ILMN_1651336	4.45291759
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.32192809
ILMN_1651346	7.80176202
ILMN_1651347	9.35648124
ILMN_1651351	3.32192809
ILMN_1651354	4.63875505
ILMN_1651358	3.32192809
ILMN_1651364	3.32192809
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	3.32192809
ILMN_1651378	6.72560211
ILMN_1651380	3.32192809
ILMN_1651385	7.68970311
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	5.66994829
ILMN_1651404	3.32192809
ILMN_1651405	8.65491666
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	5.21597479
ILMN_1651433	8.11578237
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.55001071
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.32192809
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.32192809
ILMN_1651495	3.32192809
ILMN_1651496	9.67732148
ILMN_1651498	5.16964365
ILMN_1651499	5.33227613
ILMN_1651501	3.32192809
ILMN_1651504	6.50180391
ILMN_1651506	5.26558767
ILMN_1651507	3.32192809
ILMN_1651508	3.32192809
ILMN_1651513	7.17382302
ILMN_1651520	3.32192809
ILMN_1651532	3.32192809
ILMN_1651535	3.32192809
ILMN_1651538	3.44831688
ILMN_1651543	3.32192809
ILMN_1651544	3.32192809
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	5.68552561
ILMN_1651563	3.32192809
ILMN_1651565	3.32192809
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	3.96035694
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.66702012
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	3.67873224
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	7.52533209
ILMN_1651636	3.32192809
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	3.32192809
ILMN_1651643	3.32192809
ILMN_1651652	3.32192809
ILMN_1651657	3.32192809
ILMN_1651660	3.32192809
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	13.4075944
ILMN_1651681	3.32192809
ILMN_1651684	5.33549898
ILMN_1651685	3.32192809
ILMN_1651690	3.34238122
ILMN_1651692	8.58754239
ILMN_1651693	3.32192809
ILMN_1651699	3.32192809
ILMN_1651705	9.16018456
ILMN_1651708	3.32192809
ILMN_1651710	3.32192809
ILMN_1651711	3.32192809
ILMN_1651712	3.32192809
ILMN_1651715	3.38092473
ILMN_1651717	3.32192809
ILMN_1651719	7.89963667
ILMN_1651727	3.32192809
ILMN_1651735	9.81082433
ILMN_1651737	3.32192809
ILMN_1651741	3.32192809
ILMN_1651745	4.22190723
ILMN_1651752	6.62550546
ILMN_1651758	3.32192809
ILMN_1651760	3.32192809
ILMN_1651763	3.32192809
ILMN_1651767	7.42216319
ILMN_1651769	5.53530306
ILMN_1651771	3.32192809
ILMN_1651776	6.54675821
ILMN_1651787	3.32192809
ILMN_1651788	8.1008941
ILMN_1651789	3.32192809
ILMN_1651792	3.32192809
ILMN_1651799	9.51357937
ILMN_1651800	3.32192809
ILMN_1651806	3.32192809
ILMN_1651811	3.32192809
ILMN_1651817	3.32192809
ILMN_1651819	7.50263294
ILMN_1651826	11.9619138
ILMN_1651828	7.52435757
ILMN_1651832	10.4166023
ILMN_1651846	3.32192809
ILMN_1651848	3.32192809
ILMN_1651850	13.5111337
ILMN_1651865	3.32192809
ILMN_1651872	7.37904473
ILMN_1651886	8.50928413
ILMN_1651899	12.970269
ILMN_1651900	3.32192809
ILMN_1651902	3.32192809
ILMN_1651903	3.32192809
ILMN_1651913	3.32192809
ILMN_1651916	3.32192809
ILMN_1651936	5.96397297
ILMN_1651938	3.32192809
ILMN_1651943	3.32192809
ILMN_1651944	3.32192809
ILMN_1651949	5.02175287
ILMN_1651950	4.55007999
ILMN_1651958	3.32192809
ILMN_1651964	4.78504829
ILMN_1651966	3.73394648
ILMN_1651967	3.32192809
ILMN_1651980	3.32192809
ILMN_1651984	3.32192809
ILMN_1651987	6.53857432
ILMN_1652000	4.02346473
ILMN_1652003	8.15876165
ILMN_1652006	4.182678
ILMN_1652008	4.24205139
ILMN_1652015	3.32192809
ILMN_1652017	3.32192809
ILMN_1652022	3.32192809
ILMN_1652023	3.32192809
ILMN_1652024	5.99623575
ILMN_1652037	3.32192809
ILMN_1652065	5.88071442
ILMN_1652066	3.51498825
ILMN_1652072	3.32192809
ILMN_1652073	11.7965775
ILMN_1652079	3.32192809
ILMN_1652081	3.32192809
ILMN_1652082	9.47009165
ILMN_1652085	7.67266436
ILMN_1652098	3.32192809
ILMN_1652110	3.32192809
ILMN_1652113	3.32192809
ILMN_1652123	9.98591876
ILMN_1652128	10.372691
ILMN_1652132	3.32192809
ILMN_1652144	3.32192809
ILMN_1652147	3.32192809
ILMN_1652151	3.32192809
ILMN_1652155	3.32192809
ILMN_1652160	6.16364384
ILMN_1652161	3.32192809
ILMN_1652163	4.30277818
ILMN_1652164	5.38327159
ILMN_1652166	3.32192809
ILMN_1652171	3.32192809
ILMN_1652175	3.32192809
ILMN_1652178	3.32192809
ILMN_1652181	3.32192809
ILMN_1652185	8.13936666
ILMN_1652188	3.32192809
ILMN_1652196	3.32192809
ILMN_1652198	7.85376865
ILMN_1652199	8.2213029
ILMN_1652205	3.32192809
ILMN_1652206	3.32192809
ILMN_1652207	12.2022291
ILMN_1652209	3.32192809
ILMN_1652215	6.34118664
ILMN_1652218	3.32192809
ILMN_1652219	3.60016745
ILMN_1652223	4.98088993
ILMN_1652230	13.6451518
ILMN_1652236	3.32192809
ILMN_1652237	4.28751441
ILMN_1652242	3.85371027
ILMN_1652243	3.32192809
ILMN_1652244	3.32192809
ILMN_1652246	3.32192809
ILMN_1652248	3.32192809
ILMN_1652249	3.32192809
ILMN_1652254	3.32192809
ILMN_1652259	3.32192809
ILMN_1652276	3.32192809
ILMN_1652277	3.32192809
ILMN_1652280	4.58517709
ILMN_1652284	3.32192809
ILMN_1652287	3.32192809
ILMN_1652291	3.32192809
ILMN_1652297	3.32192809
ILMN_1652300	3.32192809
ILMN_1652306	3.32192809
ILMN_1652309	3.32192809
ILMN_1652313	3.32192809
ILMN_1652314	3.32192809
ILMN_1652319	3.45683506
ILMN_1652331	5.09268781
ILMN_1652333	6.79550982
ILMN_1652342	3.32192809
ILMN_1652343	3.32192809
ILMN_1652348	3.32192809
ILMN_1652357	6.23616214
ILMN_1652365	3.32192809
ILMN_1652366	3.32192809
ILMN_1652368	3.32192809
ILMN_1652369	3.32192809
ILMN_1652371	3.32192809
ILMN_1652376	3.32192809
ILMN_1652378	3.32192809
ILMN_1652379	8.24313161
ILMN_1652381	5.15216597
ILMN_1652392	3.32192809
ILMN_1652394	8.03590264
ILMN_1652407	6.28124423
ILMN_1652409	4.29118286
ILMN_1652412	4.88192886
ILMN_1652417	3.32192809
ILMN_1652424	3.32192809
ILMN_1652429	3.32192809
ILMN_1652430	3.32192809
ILMN_1652431	8.87115459
ILMN_1652434	3.32192809
ILMN_1652436	3.32192809
ILMN_1652439	3.32192809
ILMN_1652445	3.32192809
ILMN_1652450	3.32192809
ILMN_1652456	3.32192809
ILMN_1652459	6.11606715
ILMN_1652461	3.32192809
ILMN_1652464	3.32192809
ILMN_1652466	3.32192809
ILMN_1652469	3.32192809
ILMN_1652472	3.32192809
ILMN_1652486	4.8186926
ILMN_1652487	3.45001029
ILMN_1652488	3.32192809
ILMN_1652490	7.12883571
ILMN_1652505	6.68636606
ILMN_1652507	3.32192809
ILMN_1652512	5.93119396
ILMN_1652521	6.77034014
ILMN_1652525	5.59371858
ILMN_1652527	3.32192809
ILMN_1652533	7.45987665
ILMN_1652540	4.5990422
ILMN_1652549	3.32192809
ILMN_1652550	3.32192809
ILMN_1652574	3.32192809
ILMN_1652577	3.32192809
ILMN_1652580	5.13260563
ILMN_1652594	5.29576893
ILMN_1652602	3.32192809
ILMN_1652604	3.32192809
ILMN_1652609	3.32192809
ILMN_1652611	3.32192809
ILMN_1652628	3.32192809
ILMN_1652631	11.7772385
ILMN_1652638	5.69333864
ILMN_1652639	3.32192809
ILMN_1652646	3.32192809
ILMN_1652647	4.12118619
ILMN_1652649	3.32192809
ILMN_1652650	6.53314826
ILMN_1652660	3.32192809
ILMN_1652662	3.32192809
ILMN_1652666	3.32192809
ILMN_1652670	3.32192809
ILMN_1652674	3.32192809
ILMN_1652677	5.04532676
ILMN_1652680	8.20802361
ILMN_1652685	3.40021547
ILMN_1652687	3.32192809
ILMN_1652689	3.32192809
ILMN_1652693	3.32192809
ILMN_1652694	3.32192809
ILMN_1652700	3.32192809
ILMN_1652701	3.32192809
ILMN_1652711	3.32192809
ILMN_1652719	3.32192809
ILMN_1652721	3.32192809
ILMN_1652722	7.69352947
ILMN_1652735	5.30882537
ILMN_1652736	5.94642372
ILMN_1652737	3.32192809
ILMN_1652740	3.32192809
ILMN_1652745	3.32192809
ILMN_1652747	3.32192809
ILMN_1652749	5.52629985
ILMN_1652753	6.27978959
ILMN_1652754	9.38867733
ILMN_1652756	3.32192809
ILMN_1652758	3.32192809
ILMN_1652761	3.32192809
ILMN_1652762	5.43456818
ILMN_1652763	3.32192809
ILMN_1652768	13.3404788
ILMN_1652777	6.80918161
ILMN_1652780	3.32192809
ILMN_1652784	3.32192809
ILMN_1652786	3.32192809
ILMN_1652787	9.80664403
ILMN_1652790	6.18293537
ILMN_1652799	3.32192809
ILMN_1652806	7.13702596
ILMN_1652807	3.32192809
ILMN_1652808	3.32192809
ILMN_1652819	3.74572353
ILMN_1652825	8.73634645
ILMN_1652826	3.32192809
ILMN_1652837	3.32192809
ILMN_1652846	4.8166724
ILMN_1652852	3.32192809
ILMN_1652854	3.32192809
ILMN_1652865	3.65711176
ILMN_1652866	3.7565195
ILMN_1652871	3.32192809
ILMN_1652872	3.32192809
ILMN_1652876	3.32192809
ILMN_1652881	3.32192809
ILMN_1652888	3.32192809
ILMN_1652890	3.32192809
ILMN_1652906	7.56163621
ILMN_1652907	7.1857516
ILMN_1652913	4.41957664
ILMN_1652918	4.78698312
ILMN_1652927	3.32192809
ILMN_1652928	3.77234704
ILMN_1652929	4.59128985
ILMN_1652931	3.32192809
ILMN_1652938	3.32192809
ILMN_1652939	3.32192809
ILMN_1652940	3.32192809
ILMN_1652946	3.32192809
ILMN_1652952	3.32192809
ILMN_1652955	12.1989474
ILMN_1652959	3.32192809
ILMN_1652963	3.32192809
ILMN_1652967	3.32192809
ILMN_1652969	3.32192809
ILMN_1652975	3.32192809
ILMN_1652977	3.32192809
ILMN_1652982	3.32192809
ILMN_1652989	6.68520432
ILMN_1652990	3.32192809
ILMN_1652991	3.32192809
ILMN_1652992	3.32192809
ILMN_1652996	3.32192809
ILMN_1653001	3.32192809
ILMN_1653006	3.32192809
ILMN_1653018	3.32192809
ILMN_1653026	10.7471986
ILMN_1653028	3.32192809
