Reporter Identifier	VALUE
ILMN_1343291	13.8774441
ILMN_1343295	10.4751366
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	10.8706837
ILMN_1651229	6.08766446
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.81499383
ILMN_1651259	3.49873594
ILMN_1651262	9.17551263
ILMN_1651278	7.21219345
ILMN_1651279	3.61744543
ILMN_1651281	3.32192809
ILMN_1651282	3.71213241
ILMN_1651285	3.32192809
ILMN_1651288	3.32192809
ILMN_1651296	4.73801903
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	7.66779645
ILMN_1651316	6.16783119
ILMN_1651325	3.32192809
ILMN_1651328	3.8964724
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	3.37747084
ILMN_1651341	3.32192809
ILMN_1651343	3.36313883
ILMN_1651346	6.31248225
ILMN_1651347	8.50577653
ILMN_1651351	3.32192809
ILMN_1651354	4.55383661
ILMN_1651358	3.32192809
ILMN_1651364	4.15738786
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	3.32192809
ILMN_1651378	7.13646301
ILMN_1651380	3.32192809
ILMN_1651385	7.79273473
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	8.6044265
ILMN_1651404	3.32192809
ILMN_1651405	8.33389905
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	4.17666027
ILMN_1651433	7.6159306
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.7734003
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.57697555
ILMN_1651464	3.32192809
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	4.14548345
ILMN_1651495	3.32192809
ILMN_1651496	9.65033472
ILMN_1651498	3.32192809
ILMN_1651499	4.48153855
ILMN_1651501	3.52544752
ILMN_1651504	5.29006454
ILMN_1651506	4.90835419
ILMN_1651507	3.4611461
ILMN_1651508	3.32192809
ILMN_1651513	6.65490156
ILMN_1651520	3.32192809
ILMN_1651532	3.72733019
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.70295226
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	4.81935364
ILMN_1651563	3.32192809
ILMN_1651565	4.8874624
ILMN_1651567	3.32192809
ILMN_1651568	3.63635317
ILMN_1651569	3.72148531
ILMN_1651574	4.40878133
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	4.45844126
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	7.93808472
ILMN_1651636	3.71460601
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	4.2305001
ILMN_1651643	3.98307842
