Reporter Identifier	VALUE
ILMN_1343291	13.5690739
ILMN_1343295	10.9223375
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	13.1080699
ILMN_1651229	5.67053426
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	8.23216834
ILMN_1651259	4.91604624
ILMN_1651262	9.04356522
ILMN_1651278	6.05527021
ILMN_1651279	4.29989961
ILMN_1651281	3.32192809
ILMN_1651282	4.21983994
ILMN_1651285	3.32192809
ILMN_1651288	3.42360641
ILMN_1651296	5.06720398
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.03381998
ILMN_1651316	5.56819726
ILMN_1651325	3.32192809
ILMN_1651328	3.32192809
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.32192809
ILMN_1651346	6.95352961
ILMN_1651347	8.9485901
ILMN_1651351	3.32192809
ILMN_1651354	3.32192809
ILMN_1651358	4.02315598
ILMN_1651364	3.84660918
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	3.32192809
ILMN_1651378	6.94198799
ILMN_1651380	3.32192809
ILMN_1651385	7.38946515
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	5.27154499
ILMN_1651404	3.93786318
ILMN_1651405	7.73410512
ILMN_1651408	3.32192809
ILMN_1651415	3.38033465
ILMN_1651428	3.32192809
ILMN_1651429	4.17666027
ILMN_1651433	7.89802358
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.5026266
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.32192809
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.33192014
ILMN_1651492	3.32192809
ILMN_1651495	3.32192809
ILMN_1651496	8.4637925
ILMN_1651498	3.32192809
ILMN_1651499	4.48153855
ILMN_1651501	3.64569935
ILMN_1651504	6.19865349
ILMN_1651506	4.90835419
ILMN_1651507	3.4611461
ILMN_1651508	3.32192809
ILMN_1651513	6.33178251
ILMN_1651520	4.18978819
ILMN_1651532	3.32192809
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.55323884
ILMN_1651544	3.70295226
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	4.81935364
ILMN_1651563	3.32192809
ILMN_1651565	3.32192809
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	4.40878133
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32532884
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	4.24068693
ILMN_1651617	3.37384585
ILMN_1651624	3.32192809
ILMN_1651628	6.99742903
ILMN_1651636	3.32192809
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	4.74986039
ILMN_1651643	3.81862257
ILMN_1651652	3.32192809
ILMN_1651657	3.32192809
ILMN_1651660	3.57050422
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	13.4521957
ILMN_1651681	3.32192809
ILMN_1651684	4.57227262
ILMN_1651685	3.32192809
ILMN_1651690	3.32192809
ILMN_1651692	8.18388318
ILMN_1651693	3.32192809
ILMN_1651699	3.32192809
ILMN_1651705	10.4411078
ILMN_1651708	3.32192809
ILMN_1651710	3.32192809
ILMN_1651711	3.92708009
ILMN_1651712	3.4247058
ILMN_1651715	3.3317783
ILMN_1651717	3.32192809
ILMN_1651719	7.13455072
ILMN_1651727	3.32192809
ILMN_1651735	8.97536848
ILMN_1651737	3.32192809
ILMN_1651741	3.32192809
ILMN_1651745	3.32192809
ILMN_1651752	4.48053932
ILMN_1651758	3.32192809
ILMN_1651760	3.32192809
ILMN_1651763	3.32192809
ILMN_1651767	7.43858265
ILMN_1651769	6.1849811
ILMN_1651771	3.32192809
ILMN_1651776	7.10918569
ILMN_1651787	3.32192809
ILMN_1651788	7.10577101
ILMN_1651789	3.32192809
ILMN_1651792	3.32192809
ILMN_1651799	8.9176622
ILMN_1651800	4.13838854
ILMN_1651806	3.32192809
ILMN_1651811	4.87737126
ILMN_1651817	3.32192809
ILMN_1651819	7.00787815
ILMN_1651826	12.9594765
ILMN_1651828	7.08226706
ILMN_1651832	10.6102076
ILMN_1651846	3.32192809
ILMN_1651848	3.32192809
ILMN_1651850	12.9339888
ILMN_1651865	3.32192809
ILMN_1651872	7.66524176
ILMN_1651886	8.32218523
ILMN_1651899	13.3354985
ILMN_1651900	3.32192809
ILMN_1651902	3.32192809
ILMN_1651903	3.32192809
ILMN_1651913	3.32192809
ILMN_1651916	4.12051037
ILMN_1651936	4.82064627
ILMN_1651938	3.32192809
ILMN_1651943	3.32192809
ILMN_1651944	3.32192809
ILMN_1651949	5.60119488
ILMN_1651950	5.98723714
ILMN_1651958	3.70731716
ILMN_1651964	6.15402056
ILMN_1651966	4.53005576
ILMN_1651967	3.32192809
ILMN_1651980	3.32192809
ILMN_1651984	3.32192809
ILMN_1651987	5.96811004
ILMN_1652000	5.23210041
ILMN_1652003	8.74745752
ILMN_1652006	4.01548712
ILMN_1652008	3.78994814
ILMN_1652015	3.56703063
ILMN_1652017	3.32192809
ILMN_1652022	3.32192809
ILMN_1652023	3.32192809
ILMN_1652024	5.4591538
ILMN_1652037	3.32192809
ILMN_1652065	5.85207056
ILMN_1652066	3.32192809
ILMN_1652072	3.39580316
ILMN_1652073	12.0711613
ILMN_1652079	3.32192809
ILMN_1652081	3.32192809
ILMN_1652082	9.08141426
ILMN_1652085	7.25523452
ILMN_1652098	3.32192809
ILMN_1652110	3.32192809
ILMN_1652113	4.4336739
ILMN_1652123	9.89354794
ILMN_1652128	10.1754361
ILMN_1652132	3.73647391
ILMN_1652144	3.32192809
ILMN_1652147	4.03131579
ILMN_1652151	3.32192809
ILMN_1652155	3.64966949
ILMN_1652160	6.66552348
ILMN_1652161	3.32192809
ILMN_1652163	4.64738014
ILMN_1652164	4.85468561
ILMN_1652166	3.32192809
ILMN_1652171	3.32192809
ILMN_1652175	3.32192809
ILMN_1652178	3.32192809
ILMN_1652181	3.32192809
ILMN_1652185	9.00680398
ILMN_1652188	3.32192809
ILMN_1652196	3.32192809
ILMN_1652198	8.19308957
ILMN_1652199	9.24603216
ILMN_1652205	3.32192809
ILMN_1652206	3.32192809
ILMN_1652207	12.1381306
