Reporter Identifier	VALUE
ILMN_1343291	13.9444206
ILMN_1343295	9.96830789
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	11.2211917
ILMN_1651229	4.15927832
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.31303042
ILMN_1651259	4.678738
ILMN_1651262	8.48627273
ILMN_1651278	5.84851635
ILMN_1651279	3.32192809
ILMN_1651281	3.32192809
ILMN_1651282	3.95712898
ILMN_1651285	3.32192809
ILMN_1651288	4.10984444
ILMN_1651296	4.44770533
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.30034978
ILMN_1651316	4.88014496
ILMN_1651325	3.32192809
ILMN_1651328	4.09616822
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.80098374
ILMN_1651346	6.90381046
ILMN_1651347	9.13217148
ILMN_1651351	3.32192809
ILMN_1651354	4.00306337
ILMN_1651358	3.32192809
ILMN_1651364	3.84660918
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	5.13991147
ILMN_1651378	6.75950304
ILMN_1651380	3.32192809
ILMN_1651385	7.72118989
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.80897292
ILMN_1651403	6.00316235
ILMN_1651404	3.32192809
ILMN_1651405	8.02881291
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	4.17666027
ILMN_1651433	8.80037528
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	4.79834039
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.32192809
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.6386369
ILMN_1651490	3.32192809
ILMN_1651492	3.42028836
ILMN_1651495	3.32192809
ILMN_1651496	9.00756541
ILMN_1651498	3.32192809
ILMN_1651499	4.48153855
ILMN_1651501	3.32192809
ILMN_1651504	4.87611852
ILMN_1651506	4.90835419
ILMN_1651507	3.4611461
ILMN_1651508	3.32192809
ILMN_1651513	6.30326113
ILMN_1651520	3.32192809
ILMN_1651532	3.32192809
ILMN_1651535	3.87453732
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.70295226
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	4.81935364
ILMN_1651563	3.32192809
ILMN_1651565	3.35728315
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	4.40878133
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	4.53842642
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	4.24068693
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	7.73316228
ILMN_1651636	3.73843819
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	4.10172632
ILMN_1651643	3.32192809
ILMN_1651652	3.32192809
ILMN_1651657	3.32192809
ILMN_1651660	3.75377887
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	13.4979966
ILMN_1651681	3.32192809
ILMN_1651684	4.88514686
ILMN_1651685	3.32192809
ILMN_1651690	3.32192809
ILMN_1651692	7.92017554
ILMN_1651693	4.45874814
ILMN_1651699	3.32192809
ILMN_1651705	10.2966551
ILMN_1651708	3.32192809
ILMN_1651710	3.32192809
ILMN_1651711	3.32192809
ILMN_1651712	3.4247058
ILMN_1651715	3.3317783
ILMN_1651717	3.32192809
ILMN_1651719	7.51784804
ILMN_1651727	3.32192809
ILMN_1651735	9.94899584
ILMN_1651737	3.32192809
ILMN_1651741	4.39234215
ILMN_1651745	3.79108681
ILMN_1651752	5.81708894
ILMN_1651758	3.32192809
ILMN_1651760	3.32192809
ILMN_1651763	3.32192809
ILMN_1651767	6.62579415
ILMN_1651769	6.5480943
ILMN_1651771	3.32192809
ILMN_1651776	6.30091092
ILMN_1651787	3.32192809
ILMN_1651788	7.2438169
ILMN_1651789	3.32192809
