Reporter Identifier	VALUE
ILMN_1343291	13.725813
ILMN_1343295	10.9521172
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	12.6304729
ILMN_1651229	5.47742123
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.50211466
ILMN_1651259	4.66995302
ILMN_1651262	9.19585097
ILMN_1651278	6.79083993
ILMN_1651279	3.32192809
ILMN_1651281	3.32192809
ILMN_1651282	4.98164263
ILMN_1651285	3.32192809
ILMN_1651288	3.71561556
ILMN_1651296	4.08843944
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.69292575
ILMN_1651316	5.25467325
ILMN_1651325	3.32192809
ILMN_1651328	5.05730383
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.32192809
ILMN_1651346	6.84270047
ILMN_1651347	9.29418206
ILMN_1651351	3.32192809
ILMN_1651354	4.63611705
ILMN_1651358	3.32192809
ILMN_1651364	3.84660918
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	3.32192809
ILMN_1651378	7.1913974
ILMN_1651380	3.32192809
ILMN_1651385	8.1564196
ILMN_1651388	3.43691738
ILMN_1651395	3.32192809
ILMN_1651396	3.95939738
ILMN_1651403	5.19673342
ILMN_1651404	3.32192809
ILMN_1651405	8.8882257
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	4.17666027
ILMN_1651433	7.7819011
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.51737767
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	4.62872461
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.32192809
ILMN_1651495	3.32192809
ILMN_1651496	8.60591935
ILMN_1651498	3.32192809
ILMN_1651499	6.24459865
ILMN_1651501	3.32192809
ILMN_1651504	6.24885832
ILMN_1651506	4.90835419
ILMN_1651507	3.4611461
ILMN_1651508	3.58537842
ILMN_1651513	7.2733205
ILMN_1651520	3.83415094
ILMN_1651532	3.32192809
ILMN_1651535	3.73171546
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.70295226
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	4.81935364
ILMN_1651563	3.32192809
ILMN_1651565	3.91782603
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	4.40878133
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.75412427
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.32192809
ILMN_1651610	4.24068693
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	6.70663135
ILMN_1651636	3.32192809
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	4.10172632
ILMN_1651643	3.6086425
ILMN_1651652	3.3488117
ILMN_1651657	3.32192809
ILMN_1651660	3.32192809
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	13.0199675
ILMN_1651681	3.32192809
ILMN_1651684	4.57227262
ILMN_1651685	3.32192809
ILMN_1651690	3.32192809
ILMN_1651692	8.54972021
ILMN_1651693	3.32192809
ILMN_1651699	3.32192809
ILMN_1651705	8.89449673
ILMN_1651708	3.96396419
ILMN_1651710	3.32192809
ILMN_1651711	3.32192809
ILMN_1651712	3.4247058
ILMN_1651715	3.3317783
ILMN_1651717	3.32192809
ILMN_1651719	8.22831921
ILMN_1651727	3.32192809
ILMN_1651735	9.0084295
ILMN_1651737	3.32192809
ILMN_1651741	3.32192809
ILMN_1651745	4.09105407
ILMN_1651752	4.48053932
ILMN_1651758	3.32192809
ILMN_1651760	3.32192809
ILMN_1651763	3.32192809
ILMN_1651767	7.1822615
ILMN_1651769	6.34161571
ILMN_1651771	3.32192809
ILMN_1651776	7.64442239
ILMN_1651787	3.32192809
ILMN_1651788	8.24892893
ILMN_1651789	3.89611682
ILMN_1651792	3.77307431
ILMN_1651799	9.68637416
ILMN_1651800	4.13838854
ILMN_1651806	3.32192809
ILMN_1651811	3.32192809
ILMN_1651817	3.65276296
ILMN_1651819	6.56334581
ILMN_1651826	12.9328387
ILMN_1651828	5.78892902
ILMN_1651832	11.0283927
ILMN_1651846	3.32192809
ILMN_1651848	3.32192809
ILMN_1651850	13.2306319
ILMN_1651865	3.32192809
ILMN_1651872	7.18773992
ILMN_1651886	8.39072903
ILMN_1651899	12.8502381
ILMN_1651900	3.65550067
ILMN_1651902	3.55115914
ILMN_1651903	3.32192809
ILMN_1651913	3.32192809
ILMN_1651916	4.34211593
ILMN_1651936	6.2730299
ILMN_1651938	3.32192809
ILMN_1651943	3.32192809
ILMN_1651944	3.32192809
ILMN_1651949	4.79444895
ILMN_1651950	5.12718223
ILMN_1651958	3.32192809
ILMN_1651964	7.25531632
ILMN_1651966	3.32192809
ILMN_1651967	3.32192809
ILMN_1651980	3.32192809
ILMN_1651984	3.32192809
ILMN_1651987	5.94494336
ILMN_1652000	5.12364139
ILMN_1652003	8.10376464
ILMN_1652006	4.90145734
ILMN_1652008	3.78994814
ILMN_1652015	3.6003102
ILMN_1652017	3.32192809
ILMN_1652022	3.32192809
ILMN_1652023	3.85651268
ILMN_1652024	4.84558161
ILMN_1652037	3.32192809
ILMN_1652065	5.8354355
ILMN_1652066	3.32192809
ILMN_1652072	3.32192809
ILMN_1652073	12.3565152
ILMN_1652079	3.32192809
ILMN_1652081	3.32192809
ILMN_1652082	9.42407827
ILMN_1652085	7.05251779
ILMN_1652098	3.32192809
ILMN_1652110	3.32192809
ILMN_1652113	4.04510567
ILMN_1652123	9.64591302
ILMN_1652128	10.2602282
ILMN_1652132	3.32192809
ILMN_1652144	3.67650438
ILMN_1652147	3.71918892
ILMN_1652151	3.32192809
ILMN_1652155	3.32192809
ILMN_1652160	6.26039519
ILMN_1652161	3.32192809
ILMN_1652163	4.64738014
ILMN_1652164	3.33540646
ILMN_1652166	3.32192809
ILMN_1652171	3.72509654
ILMN_1652175	3.58883334
ILMN_1652178	3.32192809
ILMN_1652181	3.32192809
ILMN_1652185	8.2822925
ILMN_1652188	3.32192809
ILMN_1652196	3.32192809
ILMN_1652198	7.35587884
ILMN_1652199	8.43431985
ILMN_1652205	3.32192809
ILMN_1652206	3.32192809
ILMN_1652207	12.3718936
ILMN_1652209	3.32192809
ILMN_1652215	6.14768214
ILMN_1652218	3.32192809
ILMN_1652219	3.32192809
ILMN_1652223	5.35116862
ILMN_1652230	13.0944894
ILMN_1652236	3.32192809
ILMN_1652237	4.13975514
ILMN_1652242	5.00881147
ILMN_1652243	3.32192809
ILMN_1652244	3.32192809
ILMN_1652246	3.47236299
ILMN_1652248	3.32192809
ILMN_1652249	3.32192809
ILMN_1652254	3.32192809
ILMN_1652259	3.32192809
ILMN_1652276	3.32192809
ILMN_1652277	3.33747562
ILMN_1652280	4.36051539
ILMN_1652284	3.32192809
ILMN_1652287	3.32192809
ILMN_1652291	3.5147333
ILMN_1652297	3.32192809
ILMN_1652300	3.32192809
ILMN_1652306	4.73109976
ILMN_1652309	3.32192809
ILMN_1652313	3.32192809
ILMN_1652314	3.32192809
ILMN_1652319	3.32192809
ILMN_1652331	5.59800997
ILMN_1652333	6.95392357
ILMN_1652342	3.32192809
ILMN_1652343	3.39683628
ILMN_1652348	3.32192809
ILMN_1652357	4.82130558
ILMN_1652365	3.32192809
ILMN_1652366	3.32192809
ILMN_1652368	3.32192809
ILMN_1652369	3.32192809
ILMN_1652371	3.75195532
ILMN_1652376	3.32192809
ILMN_1652378	3.32192809
ILMN_1652379	6.52227185
ILMN_1652381	4.14311011
ILMN_1652392	3.32192809
ILMN_1652394	7.48299609
ILMN_1652407	4.36393126
ILMN_1652409	4.31115868
ILMN_1652412	5.24335355
ILMN_1652417	3.32192809
ILMN_1652424	3.32192809
ILMN_1652429	3.32192809
ILMN_1652430	3.32192809
ILMN_1652431	8.33704121
ILMN_1652434	4.75270678
ILMN_1652436	3.32192809
ILMN_1652439	3.32192809
ILMN_1652445	3.32192809
ILMN_1652450	3.32192809
ILMN_1652456	3.32192809
ILMN_1652459	5.40883185
ILMN_1652461	3.32192809
ILMN_1652464	3.32192809
ILMN_1652466	3.32192809
ILMN_1652469	3.32192809
ILMN_1652472	3.32192809
ILMN_1652486	4.6184586
ILMN_1652487	3.84877916
ILMN_1652488	3.32192809
ILMN_1652490	6.860739
ILMN_1652505	5.26885418
ILMN_1652507	3.32192809
ILMN_1652512	5.35693237
ILMN_1652521	6.70767346
ILMN_1652525	5.31449638
ILMN_1652527	3.32192809
ILMN_1652533	7.56421819
ILMN_1652540	5.24272337
ILMN_1652549	4.13947031
ILMN_1652550	3.32192809
ILMN_1652574	3.32192809
ILMN_1652577	3.41816431
ILMN_1652580	4.57885533
ILMN_1652594	5.93664726
ILMN_1652602	3.32192809
ILMN_1652604	3.32192809
ILMN_1652609	3.32192809
ILMN_1652611	3.32192809
ILMN_1652628	3.32192809
ILMN_1652631	11.1402982
ILMN_1652638	4.21314581
ILMN_1652639	3.32192809
ILMN_1652646	3.32192809
ILMN_1652647	4.41360483
ILMN_1652649	4.47761128
ILMN_1652650	6.16136224
ILMN_1652660	3.32192809
ILMN_1652662	4.65966732
ILMN_1652666	3.32192809
ILMN_1652670	3.32192809
ILMN_1652674	3.32192809
ILMN_1652677	3.86979838
ILMN_1652680	8.47232478
ILMN_1652685	3.32192809
ILMN_1652687	3.32192809
ILMN_1652689	3.42169458
ILMN_1652693	3.32192809
ILMN_1652694	3.32192809
ILMN_1652700	3.32192809
ILMN_1652701	3.62893337
ILMN_1652711	3.60017102
ILMN_1652719	3.32192809
ILMN_1652721	3.32192809
ILMN_1652722	7.64903195
ILMN_1652735	4.41950257
ILMN_1652736	5.05902337
ILMN_1652737	3.32192809
ILMN_1652740	3.32192809
ILMN_1652745	3.32192809
ILMN_1652747	3.32192809
ILMN_1652749	6.24145739
ILMN_1652753	4.91961358
ILMN_1652754	9.52569719
ILMN_1652756	3.32192809
ILMN_1652758	3.32192809
ILMN_1652761	3.32192809
ILMN_1652762	4.94304229
ILMN_1652763	3.38898025
ILMN_1652768	13.1772881
ILMN_1652777	6.38748037
ILMN_1652780	3.32192809
ILMN_1652784	3.32192809
ILMN_1652786	3.32192809
ILMN_1652787	8.85319577
ILMN_1652790	6.33279982
ILMN_1652799	3.70256779
ILMN_1652806	6.27254926
ILMN_1652807	3.32192809
ILMN_1652808	3.32192809
ILMN_1652819	4.26866943
ILMN_1652825	8.52349654
ILMN_1652826	3.32192809
ILMN_1652837	3.32192809
ILMN_1652846	5.54810023
ILMN_1652852	3.32192809
