Reporter Identifier	VALUE
ILMN_1343291	13.9005658
ILMN_1343295	10.9958659
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	11.6558166
ILMN_1651229	4.77491537
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	3.32192809
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.13740596
ILMN_1651259	3.82879749
ILMN_1651262	9.33266205
ILMN_1651278	7.47264907
ILMN_1651279	3.77384235
ILMN_1651281	3.32192809
ILMN_1651282	3.32192809
ILMN_1651285	3.32192809
ILMN_1651288	3.32192809
ILMN_1651296	4.67009438
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.79724754
ILMN_1651316	5.59818856
ILMN_1651325	3.32192809
ILMN_1651328	3.32192809
ILMN_1651329	3.32192809
ILMN_1651336	4.89789869
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	3.32192809
ILMN_1651346	6.92616282
ILMN_1651347	9.40057735
ILMN_1651351	3.32192809
ILMN_1651354	3.94114858
ILMN_1651358	3.52413139
ILMN_1651364	3.84660918
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.47748824
ILMN_1651373	3.56521939
ILMN_1651378	8.15253712
ILMN_1651380	3.32192809
ILMN_1651385	6.90975801
ILMN_1651388	3.32192809
ILMN_1651395	3.32192809
ILMN_1651396	3.32192809
ILMN_1651403	6.14344026
ILMN_1651404	3.32192809
ILMN_1651405	9.17158042
ILMN_1651408	3.32192809
ILMN_1651415	3.56203723
ILMN_1651428	3.32192809
ILMN_1651429	5.09959108
ILMN_1651433	8.59638961
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	6.20055416
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.93729542
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.69804508
ILMN_1651495	3.32192809
ILMN_1651496	9.40959416
ILMN_1651498	3.32192809
ILMN_1651499	4.48153855
ILMN_1651501	3.32192809
ILMN_1651504	6.41077095
ILMN_1651506	4.90835419
ILMN_1651507	3.4611461
ILMN_1651508	3.32192809
ILMN_1651513	7.35084201
ILMN_1651520	3.32192809
ILMN_1651532	3.87348841
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.70295226
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	4.81935364
ILMN_1651563	3.32192809
ILMN_1651565	3.32192809
ILMN_1651567	3.32192809
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	4.40878133
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	4.37939084
ILMN_1651610	4.24068693
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	6.72577356
