Reporter Identifier	VALUE
ILMN_1343291	13.8288535
ILMN_1343295	10.6341431
ILMN_1651199	3.32192809
ILMN_1651209	3.32192809
ILMN_1651210	3.32192809
ILMN_1651221	3.32192809
ILMN_1651228	12.7620815
ILMN_1651229	5.42390923
ILMN_1651230	3.32192809
ILMN_1651232	3.32192809
ILMN_1651235	3.32192809
ILMN_1651237	4.23085165
ILMN_1651238	3.32192809
ILMN_1651249	3.32192809
ILMN_1651253	3.32192809
ILMN_1651254	9.08883381
ILMN_1651259	3.96508423
ILMN_1651262	8.94726844
ILMN_1651278	7.12947983
ILMN_1651279	3.37337816
ILMN_1651281	3.32192809
ILMN_1651282	5.09884524
ILMN_1651285	3.73900232
ILMN_1651288	3.756575
ILMN_1651296	4.04969698
ILMN_1651303	3.32192809
ILMN_1651310	3.32192809
ILMN_1651315	8.43247258
ILMN_1651316	5.61923692
ILMN_1651325	3.32192809
ILMN_1651328	4.32384272
ILMN_1651329	3.42157745
ILMN_1651336	4.78540094
ILMN_1651339	3.32192809
ILMN_1651341	3.32192809
ILMN_1651343	4.02610244
ILMN_1651346	6.59382224
ILMN_1651347	9.3830988
ILMN_1651351	3.32192809
ILMN_1651354	3.32192809
ILMN_1651358	3.32192809
ILMN_1651364	4.63821346
ILMN_1651365	3.32192809
ILMN_1651369	3.32192809
ILMN_1651370	3.32192809
ILMN_1651373	4.09469465
ILMN_1651378	7.0127452
ILMN_1651380	3.32192809
ILMN_1651385	7.03569208
ILMN_1651388	3.32192809
ILMN_1651395	3.81382018
ILMN_1651396	3.32192809
ILMN_1651403	6.57938337
ILMN_1651404	3.32192809
ILMN_1651405	8.61438152
ILMN_1651408	3.32192809
ILMN_1651415	3.32192809
ILMN_1651428	3.32192809
ILMN_1651429	4.73568247
ILMN_1651433	8.22380383
ILMN_1651435	3.32192809
ILMN_1651437	3.32192809
ILMN_1651438	5.97979763
ILMN_1651447	3.32192809
ILMN_1651453	3.32192809
ILMN_1651456	3.32192809
ILMN_1651457	3.32192809
ILMN_1651464	3.84623956
ILMN_1651466	3.32192809
ILMN_1651470	3.32192809
ILMN_1651477	3.32192809
ILMN_1651486	3.32192809
ILMN_1651488	3.32192809
ILMN_1651490	3.32192809
ILMN_1651492	3.32192809
ILMN_1651495	3.32192809
ILMN_1651496	7.16475109
ILMN_1651498	3.32192809
ILMN_1651499	5.77087211
ILMN_1651501	3.32192809
ILMN_1651504	6.50141207
ILMN_1651506	4.8801002
ILMN_1651507	3.32192809
ILMN_1651508	3.32192809
ILMN_1651513	7.2699009
ILMN_1651520	3.32192809
ILMN_1651532	3.32192809
ILMN_1651535	3.32192809
ILMN_1651538	3.32192809
ILMN_1651543	3.32192809
ILMN_1651544	3.32192809
ILMN_1651547	3.32192809
ILMN_1651554	3.32192809
ILMN_1651557	5.56682855
ILMN_1651563	3.32192809
ILMN_1651565	3.32192809
ILMN_1651567	3.33745849
ILMN_1651568	3.32192809
ILMN_1651569	3.32192809
ILMN_1651574	4.56069906
ILMN_1651576	3.32192809
ILMN_1651582	3.32192809
ILMN_1651584	3.32192809
ILMN_1651599	3.32192809
ILMN_1651604	3.32192809
ILMN_1651606	3.32192809
ILMN_1651608	3.32192809
ILMN_1651609	3.71729476
ILMN_1651610	5.32372025
ILMN_1651617	3.32192809
ILMN_1651624	3.32192809
ILMN_1651628	7.09621124
ILMN_1651636	3.83414183
ILMN_1651637	3.32192809
ILMN_1651641	3.32192809
ILMN_1651642	4.74181912
ILMN_1651643	3.32192809
ILMN_1651652	3.32192809
ILMN_1651657	3.32192809
ILMN_1651660	3.32192809
ILMN_1651662	3.32192809
ILMN_1651664	3.32192809
ILMN_1651672	3.32192809
ILMN_1651680	13.8800072
ILMN_1651681	3.32192809
ILMN_1651684	5.51951203
ILMN_1651685	3.32192809
ILMN_1651690	3.32192809
ILMN_1651692	8.1072019
ILMN_1651693	3.32192809
ILMN_1651699	3.32192809
ILMN_1651705	9.40204123
ILMN_1651708	3.32192809
ILMN_1651710	3.32192809
