Reporter Identifier	VALUE
(-)3xSLv1	2.56
A_23_P5757	6.14
A_24_P926284	2.30
A_23_P164289	8.77
A_24_P246406	4.53
A_24_P832270	2.46
A_23_P123563	14.09
A_24_P22821	4.35
A_23_P155463	2.46
A_23_P66753	2.25
A_23_P301053	3.24
A_24_P417904	2.34
A_24_P943657	2.31
A_24_P69095	6.06
A_24_P268786	6.21
A_23_P356585	2.46
A_23_P25141	7.79
A_23_P137391	11.43
A_23_P163455	5.46
A_24_P141629	7.77
A_23_P161583	2.63
A_32_P127583	7.82
A_23_P201764	5.05
A_23_P396062	7.29
A_32_P94798	12.90
A_24_P61150	4.66
A_23_P203920	5.30
A_23_P256244	2.99
A_23_P103511	2.13
A_23_P155057	13.99
A_32_P138666	4.33
A_24_P734060	11.30
A_24_P9321	5.69
A_23_P123596	3.74
A_24_P522678	10.94
A_24_P16815	5.78
A_24_P287526	6.70
A_23_P397285	2.24
A_23_P23526	10.33
A_24_P174550	10.52
A_24_P792389	5.69
A_32_P1223	4.46
A_23_P145153	7.25
A_24_P246351	3.31
A_23_P215751	6.00
A_24_P216501	5.74
A_23_P90369	11.24
A_32_P38745	5.65
A_23_P503072	4.24
A_32_P147830	2.10
A_23_P53217	9.04
A_32_P200357	2.12
A_23_P123866	10.83
A_23_P157147	10.00
A_24_P715518	3.30
A_24_P324712	3.48
A_24_P639665	2.07
A_32_P220183	4.97
A_23_P106174	7.21
A_23_P102083	2.42
A_23_P112187	7.54
A_24_P410498	2.89
A_23_P117302	6.67
A_24_P244916	15.69
A_23_P150768	2.77
A_23_P333650	2.67
A_23_P123228	3.06
A_23_P37068	3.60
A_24_P67063	5.14
A_24_P84873	8.55
A_24_P297098	8.81
A_23_P349882	5.91
A_32_P219148	9.27
A_23_P89649	2.30
A_24_P302685	2.78
A_23_P165148	9.48
A_24_P107142	9.95
A_23_P136392	2.55
A_24_P291074	2.14
A_23_P137503	3.08
A_23_P324278	8.90
A_32_P79966	3.43
A_24_P412617	5.65
A_23_P91764	5.98
A_23_P150064	5.34
A_24_P19228	6.56
A_23_P77697	3.06
A_24_P162073	8.20
A_24_P914972	2.34
A_24_P112747	6.83
A_24_P97836	5.25
A_24_P60680	3.40
A_23_P110585	5.20
A_24_P673968	8.46
A_24_P815062	2.44
A_24_P54863	6.03
A_23_P33303	9.60
A_23_P60565	5.26
A_23_P31536	8.68
A_24_P49220	2.32
A_23_P21057	10.05
A_24_P329487	3.48
A_23_P158083	5.47
A_23_P20927	3.44
A_32_P61308	5.56
A_32_P155035	2.89
A_32_P195647	2.79
A_32_P195501	2.02
A_23_P218346	4.05
A_24_P229588	3.56
A_32_P38453	2.64
A_24_P402115	6.64
A_32_P29618	2.61
A_23_P338912	2.19
A_23_P83558	2.67
A_24_P911519	2.27
A_24_P6933	2.66
A_23_P93464	6.37
A_32_P94667	4.04
A_23_P41818	8.53
A_24_P922631	4.15
A_23_P128543	10.14
A_24_P671842	6.59
A_23_P43350	3.19
A_23_P146209	6.75
A_32_P119869	2.39
A_23_P3159	3.72
A_23_P212756	2.26
A_23_P54809	6.71
A_32_P91019	2.25
A_24_P93728	2.78
A_24_P300021	2.14
A_23_P117515	6.52
A_23_P22526	2.45
A_23_P75769	6.54
A_32_P41065	9.01
A_23_P336218	6.17
A_23_P105873	2.68
A_32_P84526	3.67
A_23_P61255	2.35
A_23_P329335	6.01
A_23_P586	10.92
A_24_P212624	2.65
A_23_P39561	10.27
A_24_P75979	5.54
A_23_P87791	3.56
A_24_P196469	3.37
A_24_P79855	7.73
A_23_P140469	3.11
A_23_P11800	5.63
A_24_P410809	5.69
A_23_P52207	5.92
A_23_P254179	9.71
A_32_P864116	1.59
A_23_P218405	10.26
A_23_P157404	3.69
A_24_P76489	1.74
A_23_P252371	4.94
A_32_P172188	4.18
A_32_P58407	9.27
A_24_P257336	4.11
A_32_P85732	2.24
A_23_P162861	2.53
A_24_P377328	8.24
A_23_P161292	2.81
A_23_P98167	10.01
A_23_P387000	2.63
A_23_P48988	3.24
A_24_P945298	2.72
A_24_P481534	4.28
A_23_P29555	11.86
A_23_P417363	3.90
A_24_P405981	4.25
A_32_P111751	4.29
A_24_P316363	5.56
A_24_P512054	2.69
A_23_P300797	4.04
A_23_P43238	8.51
A_24_P140171	7.87
A_23_P168656	6.16
A_24_P305747	3.45
A_23_P26570	4.14
A_23_P13486	2.02
A_23_P388851	5.34
A_24_P359091	2.56
A_23_P71389	6.42
A_32_P212411	1.91
A_23_P155835	7.01
A_24_P787897	6.66
A_24_P247738	1.94
A_32_P30656	2.13
A_23_P200579	2.22
A_32_P229965	4.19
A_32_P181020	7.70
A_24_P397928	11.78
A_32_P109029	2.18
A_23_P102462	5.13
A_32_P3048	3.56
A_23_P152330	1.98
A_23_P79496	1.73
A_32_P156171	10.74
A_32_P83326	9.21
A_32_P60343	7.89
A_23_P16451	14.50
A_23_P133606	3.45
A_24_P272653	2.51
A_23_P309930	2.55
A_23_P30050	5.47
A_24_P135769	3.22
A_23_P90032	2.32
A_24_P59236	2.34
A_24_P162226	3.08
A_23_P377882	8.07
A_24_P419132	1.60
A_23_P383377	8.19
A_32_P145490	2.60
A_24_P408603	5.48
A_24_P1255	4.67
A_24_P269527	2.94
A_24_P281374	5.14
A_24_P400573	5.80
A_23_P304509	2.40
A_32_P99804	5.19
A_23_P374812	5.32
A_24_P930148	2.15
A_23_P29723	2.53
A_32_P377032	2.24
A_24_P303815	7.35
A_23_P112173	2.69
A_32_P135450	8.16
A_23_P52410	1.77
A_23_P317760	1.88
A_23_P259561	10.94
A_23_P42331	9.22
A_24_P159515	8.28
A_32_P128368	2.23
A_24_P459299	2.37
A_23_P38732	4.35
A_23_P317839	1.94
A_24_P942870	1.73
A_24_P383660	4.05
A_32_P54628	2.02
A_24_P46171	8.02
A_23_P71926	2.37
A_23_P16116	9.01
A_32_P193771	3.90
A_23_P118493	2.54
A_24_P383704	7.15
A_24_P917833	10.13
A_24_P914155	2.43
A_24_P112941	2.18
A_23_P208698	9.00
A_32_P886589	2.41
A_23_P41304	6.02
A_23_P33773	2.07
A_23_P122896	6.16
A_23_P5103	1.97
A_24_P548624	2.86
A_32_P124978	4.83
A_24_P367079	4.28
A_24_P299507	3.49
A_32_P200787	6.98
