Reporter Identifier	VALUE
(-)3xSLv1	2.49
A_23_P5757	7.53
A_24_P926284	2.36
A_23_P164289	8.59
A_24_P246406	5.54
A_24_P832270	2.49
A_23_P123563	15.69
A_24_P22821	4.66
A_23_P155463	2.75
A_23_P66753	2.56
A_23_P301053	3.50
A_24_P417904	3.25
A_24_P943657	2.43
A_24_P69095	6.48
A_24_P268786	7.78
A_23_P356585	4.09
A_23_P25141	8.26
A_23_P137391	11.49
A_23_P163455	3.82
A_24_P141629	8.56
A_23_P161583	2.55
A_32_P127583	7.25
A_23_P201764	5.27
A_23_P396062	7.15
A_32_P94798	12.92
A_24_P61150	3.73
A_23_P203920	5.44
A_23_P256244	3.91
A_23_P103511	2.73
A_23_P155057	14.18
A_32_P138666	5.79
A_24_P734060	12.20
A_24_P9321	4.53
A_23_P123596	4.24
A_24_P522678	6.92
A_24_P16815	6.21
A_24_P287526	5.27
A_23_P397285	2.35
A_23_P23526	10.49
A_24_P174550	10.13
A_24_P792389	5.44
A_32_P1223	5.82
A_23_P145153	7.64
A_24_P246351	4.30
A_23_P215751	8.12
A_24_P216501	5.32
A_23_P90369	10.46
A_32_P38745	5.84
A_23_P503072	4.48
A_32_P147830	2.54
A_23_P53217	9.88
A_32_P200357	2.67
A_23_P123866	10.34
A_23_P157147	10.07
A_24_P715518	3.34
A_24_P324712	3.00
A_24_P639665	2.44
A_32_P220183	6.59
A_23_P106174	7.32
A_23_P102083	2.02
A_23_P112187	4.62
A_24_P410498	3.11
A_23_P117302	5.81
A_24_P244916	15.24
A_23_P150768	2.53
A_23_P333650	3.77
A_23_P123228	2.55
A_23_P37068	4.18
A_24_P67063	5.00
A_24_P84873	8.52
A_24_P297098	8.99
A_23_P349882	6.63
A_32_P219148	8.64
A_23_P89649	2.10
A_24_P302685	2.93
A_23_P165148	9.26
A_24_P107142	9.71
A_23_P136392	2.37
A_24_P291074	2.42
A_23_P137503	4.01
A_23_P324278	7.47
A_32_P79966	3.68
A_24_P412617	6.58
A_23_P91764	6.93
A_23_P150064	4.10
A_24_P19228	6.61
A_23_P77697	3.64
A_24_P162073	8.20
A_24_P914972	2.17
A_24_P112747	7.27
A_24_P97836	5.68
A_24_P60680	3.61
A_23_P110585	4.90
A_24_P673968	8.01
A_24_P815062	2.39
A_24_P54863	6.77
A_23_P33303	9.25
A_23_P60565	7.03
A_23_P31536	9.06
A_24_P49220	1.84
A_23_P21057	9.94
A_24_P329487	4.51
A_23_P158083	5.55
A_23_P20927	4.04
A_32_P61308	6.59
A_32_P155035	3.13
A_32_P195647	2.91
A_32_P195501	2.55
A_23_P218346	4.59
A_24_P229588	3.45
A_32_P38453	2.64
A_24_P402115	7.75
A_32_P29618	2.70
A_23_P338912	2.66
A_23_P83558	3.24
A_24_P911519	2.87
A_24_P6933	4.19
A_23_P93464	6.64
A_32_P94667	4.89
A_23_P41818	9.11
A_24_P922631	3.07
A_23_P128543	10.94
A_24_P671842	5.96
A_23_P43350	2.81
A_23_P146209	7.49
A_32_P119869	2.62
A_23_P3159	3.46
A_23_P212756	3.63
A_23_P54809	6.21
A_32_P91019	2.20
A_24_P93728	3.69
A_24_P300021	3.01
A_23_P117515	7.11
A_23_P22526	3.88
A_23_P75769	6.95
A_32_P41065	8.86
A_23_P336218	6.35
A_23_P105873	2.80
A_32_P84526	4.18
A_23_P61255	2.01
A_23_P329335	5.58
A_23_P586	11.04
A_24_P212624	3.08
A_23_P39561	9.59
A_24_P75979	4.13
A_23_P87791	4.57
A_24_P196469	3.97
A_24_P79855	7.09
A_23_P140469	4.35
A_23_P11800	5.44
A_24_P410809	5.99
A_23_P52207	4.63
A_23_P254179	10.20
A_32_P864116	1.96
A_23_P218405	8.92
A_23_P157404	5.51
A_24_P76489	2.15
A_23_P252371	6.55
A_32_P172188	4.26
A_32_P58407	6.44
A_24_P257336	4.66
A_32_P85732	1.90
A_23_P162861	2.98
A_24_P377328	9.27
A_23_P161292	2.10
A_23_P98167	9.91
A_23_P387000	3.19
A_23_P48988	2.78
A_24_P945298	2.53
A_24_P481534	4.86
A_23_P29555	11.87
A_23_P417363	4.34
A_24_P405981	5.23
A_32_P111751	4.56
A_24_P316363	5.49
A_24_P512054	2.86
A_23_P300797	3.47
A_23_P43238	8.38
A_24_P140171	7.79
A_23_P168656	7.49
A_24_P305747	4.23
A_23_P26570	5.00
A_23_P13486	1.95
A_23_P388851	5.11
A_24_P359091	2.08
A_23_P71389	7.22
A_32_P212411	2.56
A_23_P155835	7.22
A_24_P787897	6.95
A_24_P247738	2.06
A_32_P30656	2.54
A_23_P200579	2.69
A_32_P229965	3.86
A_32_P181020	7.31
A_24_P397928	10.16
A_32_P109029	2.82
A_23_P102462	5.50
A_32_P3048	3.47
A_23_P152330	2.41
A_23_P79496	2.54
A_32_P156171	10.96
A_32_P83326	8.92
A_32_P60343	9.18
A_23_P16451	12.98
A_23_P133606	4.62
A_24_P272653	3.08
A_23_P309930	2.42
A_23_P30050	6.57
A_24_P135769	3.85
A_23_P90032	3.02
A_24_P59236	2.48
A_24_P162226	2.64
A_23_P377882	5.75
A_24_P419132	2.58
A_23_P383377	6.58
A_32_P145490	2.83
A_24_P408603	6.51
A_24_P1255	5.69
A_24_P269527	3.20
A_24_P281374	5.71
A_24_P400573	5.47
A_23_P304509	1.58
A_32_P99804	4.93
A_23_P374812	5.73
A_24_P930148	2.23
A_23_P29723	3.40
A_32_P377032	2.99
A_24_P303815	7.89
A_23_P112173	2.77
A_32_P135450	9.37
A_23_P52410	2.95
A_23_P317760	1.80
A_23_P259561	11.79
A_23_P42331	8.69
A_24_P159515	5.19
A_32_P128368	1.96
A_24_P459299	3.68
A_23_P38732	4.36
A_23_P317839	2.72
A_24_P942870	2.43
A_24_P383660	4.45
A_32_P54628	2.77
A_24_P46171	8.15
A_23_P71926	2.47
A_23_P16116	8.70
A_32_P193771	4.45
A_23_P118493	2.97
A_24_P383704	4.24
A_24_P917833	10.95
A_24_P914155	2.84
A_24_P112941	2.16
A_23_P208698	8.63
A_32_P886589	2.38
A_23_P41304	4.30
A_23_P33773	2.14
A_23_P122896	4.83
A_23_P5103	2.11
A_24_P548624	3.49
A_32_P124978	3.73
A_24_P367079	2.84
A_24_P299507	3.70
A_32_P200787	5.55
A_32_P230547	5.40
A_32_P177843	5.19
A_23_P211957	13.22
A_24_P920388	10.23
A_24_P297302	3.12
A_32_P190036	6.81
A_24_P935163	2.90
A_24_P743806	4.40
A_32_P43855	8.84
A_23_P207811	7.43
A_23_P201778	9.59
A_24_P751247	5.29
A_24_P920148	2.03
A_23_P65000	5.31
A_23_P200109	5.33
A_24_P315754	6.31
A_23_P501080	6.92
A_23_P201996	11.49
A_23_P500542	2.65
A_24_P137563	7.74
A_23_P214121	9.89
A_23_P100576	11.75
A_24_P545587	2.16
A_23_P125844	2.24
A_23_P202100	7.22
A_23_P167812	1.60
A_23_P159305	10.91
A_24_P257579	3.08
A_24_P580429	1.98
A_23_P395464	4.13
A_32_P149158	5.77
A_23_P89981	4.67
A_24_P66270	7.10
A_24_P376339	5.84
A_24_P764595	9.40
A_23_P12554	3.93
A_23_P414352	2.19
A_23_P133691	7.58
A_32_P185393	2.41
A_23_P61447	7.79
A_32_P480177	2.76
A_24_P502724	2.45
A_24_P247872	2.81
A_23_P150483	2.92
A_32_P10383	4.77
A_24_P349676	5.07
A_23_P370625	7.87
A_23_P214603	11.48
A_24_P588235	4.99
A_23_P412214	6.47
A_23_P429555	2.01
A_23_P258433	2.54
A_23_P214658	8.86
A_32_P45727	3.00
A_23_P170857	9.23
A_23_P253841	11.96
A_23_P103690	7.39
A_24_P463929	2.15
A_24_P935622	6.63
A_23_P310372	2.22
A_24_P773141	1.95
A_24_P942328	7.09
A_23_P113952	2.21
A_23_P107336	9.70
A_32_P429687	2.38
A_32_P79492	2.40
A_23_P358597	2.83
A_24_P247699	9.17
A_24_P533001	3.59
A_24_P173294	14.33
A_23_P81158	3.10
A_24_P115990	2.91
A_32_P129018	2.47
A_23_P130141	2.96
A_24_P269779	2.52
A_24_P18190	8.70
A_23_P49351	5.77
A_24_P323298	5.51
A_24_P466590	6.84
A_24_P162483	2.44
A_32_P107667	7.95
A_32_P201020	7.35
A_32_P36778	4.81
A_23_P45726	10.02
A_24_P125469	2.49
A_23_P31240	3.63
A_24_P944113	2.81
A_23_P114008	2.18
A_23_P367628	9.99
A_32_P21222	6.62
A_24_P53600	6.10
A_32_P17743	4.08
A_23_P6362	7.91
A_32_P70626	4.34
A_24_P505981	7.34
A_32_P464135	1.86
A_24_P384674	2.20
A_32_P105171	3.16
A_23_P24215	4.78
A_32_P42354	2.47
A_32_P71032	2.22
A_23_P40272	5.94
A_24_P206328	2.35
A_23_P207174	2.80
A_24_P314931	2.41
A_32_P141849	2.31
A_23_P155276	10.24
A_23_P306326	2.96
A_23_P119789	6.77
A_32_P233379	2.43
A_23_P137073	5.55
A_23_P360777	5.94
A_24_P169258	5.62
A_24_P565390	5.76
A_24_P393502	2.60
A_23_P432626	5.33
A_23_P141894	3.53
A_23_P417853	2.53
A_23_P95302	8.34
A_24_P148706	3.01
A_23_P71170	3.28
A_23_P208450	7.44
A_23_P149111	2.40
A_23_P206526	6.15
A_23_P214907	3.86
A_23_P214935	10.39
A_24_P125871	4.74
A_24_P511187	2.42
A_24_P205195	2.04
A_24_P901856	2.57
A_24_P655735	4.54
A_32_P91743	6.23
A_32_P411945	2.41
A_32_P93841	3.88
A_24_P212715	4.96
A_23_P144257	7.75
A_23_P251364	2.70
A_23_P212665	6.13
A_23_P34637	3.29
A_24_P316439	3.09
A_32_P99700	3.53
A_32_P75399	6.77
A_24_P129232	10.44
A_23_P418464	2.54
A_23_P316637	2.22
A_23_P4489	3.50
A_32_P225119	3.10
A_23_P71680	7.65
A_23_P73311	2.65
A_23_P90375	12.07
A_23_P301855	2.30
A_23_P56127	6.90
A_24_P563745	4.69
A_23_P51117	7.09
A_23_P317667	2.99
A_24_P936899	1.92
A_24_P26170	7.07
A_24_P377489	11.19
A_24_P476913	7.70
A_24_P371758	7.85
A_24_P361408	2.51
A_24_P38951	11.98
A_23_P17695	8.15
A_23_P336728	4.29
A_24_P162482	5.91
A_23_P350574	7.20
A_24_P350514	4.62
A_24_P916559	3.20
A_24_P146575	3.50
A_23_P302750	2.35
A_24_P256018	3.88
A_23_P16671	6.49
A_24_P920534	4.12
A_23_P434807	2.79
A_24_P25080	8.99
A_24_P944096	2.58
A_32_P82671	4.44
A_24_P913609	1.63
A_23_P117437	1.89
A_23_P96599	5.49
A_32_P215078	5.02
A_24_P269687	8.52
A_23_P419277	9.66
A_24_P96171	10.83
A_24_P918384	3.23
A_23_P97841	2.37
A_23_P431263	1.87
A_24_P13595	4.11
A_23_P104865	2.16
A_24_P90878	7.28
A_24_P936849	2.10
A_23_P306203	3.06
A_23_P162322	6.43
A_23_P84475	5.50
A_32_P3572	3.14
A_23_P124232	2.53
A_23_P141394	9.64
A_23_P5415	9.82
A_23_P341503	2.80
A_23_P215832	10.63
A_32_P109036	5.80
A_24_P715029	2.22
A_24_P751327	1.93
A_24_P941912	7.68
A_24_P151325	9.39
A_23_P81993	11.32
A_23_P142796	7.53
A_23_P142018	11.52
A_32_P209909	6.52
A_24_P937931	2.67
A_23_P101806	5.03
A_23_P342600	3.49
A_24_P462777	2.81
A_24_P335202	2.39
A_24_P818378	2.57
A_32_P225854	3.56
A_23_P140170	8.65
A_23_P202067	7.18
A_23_P132763	2.73
A_24_P298334	4.04
A_23_P17074	11.12
A_23_P127220	3.19
A_24_P917164	2.88
A_24_P928133	2.39
A_24_P181055	7.38
A_24_P915883	2.45
A_24_P253293	8.77
A_24_P400926	6.48
A_23_P116557	8.28
A_23_P48698	3.28
A_24_P139229	3.74
A_23_P30603	3.63
A_24_P417706	8.67
A_24_P920922	2.76
A_24_P923128	2.62
A_23_P95612	7.47
A_24_P899032	2.12
A_24_P677890	8.31
A_24_P337334	8.20
A_23_P259641	8.00
A_23_P204836	3.87
A_23_P135730	7.56
A_24_P272873	13.64
A_23_P154022	6.53
A_23_P429363	2.48
A_23_P362261	5.78
A_24_P362540	4.82
A_32_P188694	2.65
A_23_P113613	3.28
A_23_P94255	2.35
A_24_P95038	13.26
A_23_P401076	12.09
A_24_P419053	3.99
A_24_P639441	7.20
A_32_P55871	2.58
A_32_P111072	2.64
A_23_P35467	7.95
A_24_P880155	2.55
A_23_P68730	10.32
A_24_P930799	3.19
A_23_P101208	9.20
A_23_P51534	8.30
A_23_P321473	6.01
A_32_P209208	3.93
A_24_P166045	5.08
A_23_P433865	2.48
A_23_P153086	7.89
A_32_P213358	5.51
A_23_P167509	10.00
A_24_P273245	7.31
A_32_P223059	3.02
A_24_P41864	2.82
A_23_P95672	3.91
A_23_P7719	2.01
A_32_P100430	9.26
A_23_P393607	9.75
A_23_P114903	13.29
A_32_P28402	7.67
A_24_P709844	3.45
A_23_P12231	4.18
A_32_P167705	5.71
A_24_P418878	3.77
A_23_P69100	3.80
A_23_P218731	6.63
A_24_P111191	2.60
A_23_P252193	3.84
A_23_P161634	9.98
A_23_P8412	8.86
A_24_P195145	11.46
A_23_P117694	5.76
A_24_P309912	3.43
A_23_P76901	13.34
A_24_P749904	2.43
A_23_P156087	2.63
A_23_P424637	4.25
A_24_P214043	3.68
A_24_P942703	4.70
A_32_P776626	6.25
A_24_P780052	14.12
A_32_P200144	13.19
A_23_P154874	6.29
A_23_P17095	4.67
A_32_P115077	3.88
A_24_P693321	6.05
A_23_P430747	2.20
A_23_P157215	9.83
A_24_P938577	1.75
A_24_P56884	7.84
A_24_P929524	4.73
A_24_P39484	4.53
A_23_P37327	7.86
A_23_P85236	9.96
A_24_P7143	2.44
A_32_P458472	2.70
A_23_P144512	2.30
A_23_P311640	7.12
A_24_P414419	7.03
A_23_P62840	9.66
A_23_P106389	4.51
A_23_P120513	9.72
A_23_P156873	2.68
A_23_P205293	4.32
A_23_P106922	3.36
A_32_P132477	5.23
A_24_P110937	4.22
A_23_P254601	10.45
A_24_P353412	6.10
A_24_P258051	5.53
A_23_P87853	8.23
A_24_P23995	9.35
A_24_P408341	6.81
A_24_P208595	2.58
A_23_P150619	2.87
