Reporter Identifier	VALUE
(-)3xSLv1	2.43
A_23_P5757	6.75
A_24_P926284	2.51
A_23_P164289	7.36
A_24_P246406	4.97
A_24_P832270	2.81
A_23_P123563	14.41
A_24_P22821	4.61
A_23_P155463	2.54
A_23_P66753	2.58
A_23_P301053	3.82
A_24_P417904	2.75
A_24_P943657	2.41
A_24_P69095	7.05
A_24_P268786	7.04
A_23_P356585	2.90
A_23_P25141	8.19
A_23_P137391	11.90
A_23_P163455	5.11
A_24_P141629	8.36
A_23_P161583	2.42
A_32_P127583	7.79
A_23_P201764	5.55
A_23_P396062	7.43
A_32_P94798	13.53
A_24_P61150	4.37
A_23_P203920	5.08
A_23_P256244	3.76
A_23_P103511	3.20
A_23_P155057	14.17
A_32_P138666	5.45
A_24_P734060	11.99
A_24_P9321	6.32
A_23_P123596	3.21
A_24_P522678	8.46
A_24_P16815	6.35
A_24_P287526	5.70
A_23_P397285	2.56
A_23_P23526	10.37
A_24_P174550	10.59
A_24_P792389	6.00
A_32_P1223	4.68
A_23_P145153	7.71
A_24_P246351	4.15
A_23_P215751	6.73
A_24_P216501	5.69
A_23_P90369	11.51
A_32_P38745	5.54
A_23_P503072	4.13
A_32_P147830	1.69
A_23_P53217	9.40
A_32_P200357	1.93
A_23_P123866	10.77
A_23_P157147	10.49
A_24_P715518	3.26
A_24_P324712	3.03
A_24_P639665	1.72
A_32_P220183	6.02
A_23_P106174	7.13
A_23_P102083	2.76
A_23_P112187	5.85
A_24_P410498	3.66
A_23_P117302	7.22
A_24_P244916	15.39
A_23_P150768	2.67
A_23_P333650	3.52
A_23_P123228	3.13
A_23_P37068	4.73
A_24_P67063	5.11
A_24_P84873	8.93
A_24_P297098	8.91
A_23_P349882	6.15
A_32_P219148	8.76
A_23_P89649	2.62
A_24_P302685	3.58
A_23_P165148	9.57
A_24_P107142	9.99
A_23_P136392	2.69
A_24_P291074	2.72
A_23_P137503	4.46
A_23_P324278	8.36
A_32_P79966	3.87
A_24_P412617	6.11
A_23_P91764	6.25
A_23_P150064	4.24
A_24_P19228	6.08
A_23_P77697	3.52
A_24_P162073	8.32
A_24_P914972	1.68
A_24_P112747	7.38
A_24_P97836	5.34
A_24_P60680	3.15
A_23_P110585	4.99
A_24_P673968	8.53
A_24_P815062	2.47
A_24_P54863	6.73
A_23_P33303	9.38
A_23_P60565	6.67
A_23_P31536	9.13
A_24_P49220	1.67
A_23_P21057	9.69
A_24_P329487	4.13
A_23_P158083	5.76
A_23_P20927	4.09
A_32_P61308	6.73
A_32_P155035	3.37
A_32_P195647	2.72
A_32_P195501	1.57
A_23_P218346	4.25
A_24_P229588	3.49
A_32_P38453	2.74
A_24_P402115	7.51
A_32_P29618	2.66
A_23_P338912	2.66
A_23_P83558	2.52
A_24_P911519	2.85
A_24_P6933	3.77
A_23_P93464	6.55
A_32_P94667	4.64
A_23_P41818	8.73
A_24_P922631	3.57
A_23_P128543	10.36
A_24_P671842	7.06
A_23_P43350	3.14
A_23_P146209	7.16
A_32_P119869	2.60
A_23_P3159	4.08
A_23_P212756	3.60
A_23_P54809	6.21
A_32_P91019	2.74
A_24_P93728	4.02
A_24_P300021	2.53
A_23_P117515	6.69
A_23_P22526	3.90
A_23_P75769	7.96
A_32_P41065	9.18
A_23_P336218	6.40
A_23_P105873	2.80
A_32_P84526	3.95
A_23_P61255	2.74
A_23_P329335	5.57
A_23_P586	10.83
A_24_P212624	2.79
A_23_P39561	10.12
A_24_P75979	6.35
A_23_P87791	3.93
A_24_P196469	3.73
A_24_P79855	7.66
A_23_P140469	3.63
A_23_P11800	5.14
A_24_P410809	5.81
A_23_P52207	7.17
A_23_P254179	9.74
A_32_P864116	1.79
