Reporter Identifier	VALUE
(-)3xSLv1	2.59
A_23_P5757	5.99
A_24_P926284	2.39
A_23_P164289	8.16
A_24_P246406	3.94
A_24_P832270	2.29
A_23_P123563	13.32
A_24_P22821	5.39
A_23_P155463	2.29
A_23_P66753	2.46
A_23_P301053	2.91
A_24_P417904	2.85
A_24_P943657	2.55
A_24_P69095	5.66
A_24_P268786	6.23
A_23_P356585	2.48
A_23_P25141	7.33
A_23_P137391	11.55
A_23_P163455	5.54
A_24_P141629	7.80
A_23_P161583	2.36
A_32_P127583	7.87
A_23_P201764	4.90
A_23_P396062	7.10
A_32_P94798	13.07
A_24_P61150	4.73
A_23_P203920	6.42
A_23_P256244	3.16
A_23_P103511	3.42
A_23_P155057	14.45
A_32_P138666	3.81
A_24_P734060	11.12
A_24_P9321	5.63
A_23_P123596	5.26
A_24_P522678	10.68
A_24_P16815	6.07
A_24_P287526	6.72
A_23_P397285	2.54
A_23_P23526	10.33
A_24_P174550	10.29
A_24_P792389	5.35
A_32_P1223	4.68
A_23_P145153	7.07
A_24_P246351	3.55
A_23_P215751	6.01
A_24_P216501	6.09
A_23_P90369	10.90
A_32_P38745	5.86
A_23_P503072	3.68
A_32_P147830	2.46
A_23_P53217	8.87
A_32_P200357	1.16
A_23_P123866	11.30
A_23_P157147	10.11
A_24_P715518	2.45
A_24_P324712	3.29
A_24_P639665	2.29
A_32_P220183	4.95
A_23_P106174	7.25
A_23_P102083	2.72
A_23_P112187	7.28
A_24_P410498	3.17
A_23_P117302	5.46
A_24_P244916	15.98
A_23_P150768	2.78
A_23_P333650	2.98
A_23_P123228	2.90
A_23_P37068	4.27
A_24_P67063	6.17
A_24_P84873	8.53
A_24_P297098	8.39
A_23_P349882	5.39
A_32_P219148	9.30
A_23_P89649	2.00
A_24_P302685	2.70
A_23_P165148	9.14
A_24_P107142	10.16
A_23_P136392	2.38
A_24_P291074	3.11
A_23_P137503	3.86
A_23_P324278	9.27
A_32_P79966	4.09
A_24_P412617	4.64
A_23_P91764	7.23
A_23_P150064	4.35
A_24_P19228	6.05
A_23_P77697	3.27
A_24_P162073	8.29
A_24_P914972	2.62
A_24_P112747	6.82
A_24_P97836	4.72
A_24_P60680	3.08
A_23_P110585	5.17
A_24_P673968	7.93
A_24_P815062	2.63
A_24_P54863	6.65
A_23_P33303	9.59
A_23_P60565	5.96
A_23_P31536	8.55
A_24_P49220	2.16
A_23_P21057	9.49
A_24_P329487	2.59
A_23_P158083	5.21
A_23_P20927	3.51
A_32_P61308	5.69
A_32_P155035	3.26
A_32_P195647	2.99
A_32_P195501	2.61
A_23_P218346	4.65
A_24_P229588	3.46
A_32_P38453	2.70
A_24_P402115	7.38
A_32_P29618	2.60
A_23_P338912	2.03
A_23_P83558	2.93
A_24_P911519	2.54
A_24_P6933	3.15
A_23_P93464	6.09
A_32_P94667	4.66
A_23_P41818	8.11
A_24_P922631	3.69
A_23_P128543	9.83
A_24_P671842	6.47
A_23_P43350	2.87
A_23_P146209	6.82
A_32_P119869	2.21
A_23_P3159	3.64
A_23_P212756	1.60
A_23_P54809	7.30
A_32_P91019	2.45
A_24_P93728	2.87
