Reporter Identifier	VALUE
(-)3xSLv1	
A_23_P5757	6.38
A_24_P926284	2.13
A_23_P164289	6.77
A_24_P246406	5.35
A_24_P832270	3.64
A_23_P123563	13.36
A_24_P22821	3.76
A_23_P155463	5.34
A_23_P66753	1.97
A_23_P301053	5.01
A_24_P417904	4.41
A_24_P943657	3.30
A_24_P69095	5.16
A_24_P268786	6.37
A_23_P356585	3.60
A_23_P25141	7.66
A_23_P137391	9.84
A_23_P163455	4.77
A_24_P141629	6.71
A_23_P161583	3.17
A_32_P127583	6.22
A_23_P201764	3.09
A_23_P396062	5.80
A_32_P94798	11.16
A_24_P61150	6.56
A_23_P203920	5.93
A_23_P256244	4.58
A_23_P103511	3.31
A_23_P155057	11.40
A_32_P138666	4.51
A_24_P734060	9.09
A_24_P9321	9.07
A_23_P123596	5.88
A_24_P522678	8.11
A_24_P16815	6.15
A_24_P287526	8.03
A_23_P397285	2.23
A_23_P23526	8.77
A_24_P174550	8.67
A_24_P792389	4.60
A_32_P1223	4.86
A_23_P145153	7.09
A_24_P246351	3.61
A_23_P215751	7.15
A_24_P216501	4.76
A_23_P90369	10.83
A_32_P38745	4.18
A_23_P503072	4.11
A_32_P147830	2.86
A_23_P53217	8.88
A_32_P200357	2.65
A_23_P123866	8.57
A_23_P157147	8.63
A_24_P715518	4.20
A_24_P324712	4.58
A_24_P639665	2.67
A_32_P220183	5.19
A_23_P106174	6.13
A_23_P102083	2.21
A_23_P112187	5.53
A_24_P410498	3.71
A_23_P117302	9.47
A_24_P244916	12.55
A_23_P150768	3.10
A_23_P333650	3.54
A_23_P123228	5.27
A_23_P37068	5.44
A_24_P67063	6.38
A_24_P84873	8.10
A_24_P297098	8.24
A_23_P349882	6.09
A_32_P219148	7.78
A_23_P89649	4.68
A_24_P302685	2.16
A_23_P165148	7.34
A_24_P107142	8.50
A_23_P136392	7.36
A_24_P291074	3.79
A_23_P137503	3.68
A_23_P324278	5.18
A_32_P79966	6.28
A_24_P412617	6.08
A_23_P91764	6.37
A_23_P150064	7.05
A_24_P19228	5.54
A_23_P77697	4.70
A_24_P162073	6.92
A_24_P914972	4.37
A_24_P112747	5.78
A_24_P97836	5.71
A_24_P60680	5.86
A_23_P110585	6.10
A_24_P673968	7.50
A_24_P815062	3.69
A_24_P54863	5.11
A_23_P33303	7.39
A_23_P60565	6.31
A_23_P31536	9.06
A_24_P49220	2.80
A_23_P21057	6.91
A_24_P329487	5.10
A_23_P158083	4.78
A_23_P20927	4.91
A_32_P61308	5.88
A_32_P155035	4.28
A_32_P195647	2.74
A_32_P195501	3.62
A_23_P218346	3.58
A_24_P229588	4.64
A_32_P38453	3.47
A_24_P402115	6.64
A_32_P29618	2.26
A_23_P338912	3.06
A_23_P83558	5.37
A_24_P911519	3.07
A_24_P6933	3.13
A_23_P93464	6.06
A_32_P94667	4.62
A_23_P41818	8.14
A_24_P922631	6.36
A_23_P128543	9.51
A_24_P671842	8.30
A_23_P43350	5.08
A_23_P146209	6.16
A_32_P119869	4.76
A_23_P3159	5.41
